Hour,Mean,Variance,Skew,Kurtosis,Positive,Negative,Zero
0,2.3974364418933707e-05,4.2959550299450265e-06,-0.21846967682137225,5.41581857104814,0.5077605321507761,0.4501108647450111,0.04212860310421286
1,5.660606173438584e-05,9.515996700676622e-06,1.7060290683647195,14.272319292093066,0.4811529933481153,0.5011086474501109,0.017738359201773836
2,7.079018821932266e-05,4.1622948786472105e-06,0.016001957059751493,1.6166802511744844,0.5077605321507761,0.44789356984478934,0.04434589800443459
3,-7.291510630580495e-05,2.4259640781262736e-06,-0.4702050187192455,2.568310869681552,0.4878587196467991,0.48123620309050774,0.03090507726269316
4,4.230445776156748e-06,3.1019982633759207e-06,0.5891529144801919,17.17731236753304,0.4668141592920354,0.49557522123893805,0.03761061946902655
5,5.942916702211723e-06,5.619105006564948e-06,1.0840448693150901,19.309870372466598,0.46325167037861914,0.5033407572383074,0.0334075723830735
6,0.00019371440438534552,4.949994308195357e-06,-0.1700768403977731,1.7457768999761187,0.5476718403547672,0.4212860310421286,0.031042128603104215
7,-0.0002505483152476939,1.4047110365858191e-05,-0.7819912438560779,3.004896704754711,0.47639484978540775,0.5,0.023605150214592276
8,-3.3410586202304675e-05,1.796274642867528e-05,-0.40056052879531445,2.2052797119442946,0.49471458773784355,0.4989429175475687,0.006342494714587738
9,0.000321211232161167,1.7644267649921343e-05,-0.3662022312045816,1.173855970407999,0.5408805031446541,0.4444444444444444,0.014675052410901468
10,3.270630866479703e-05,1.419614363213461e-05,-0.06252085687165956,2.37385742757945,0.49159663865546216,0.48739495798319327,0.02100840336134454
11,7.432423466547287e-05,1.1287690403051907e-05,-0.052721299473287235,1.5157691180332824,0.5262054507337526,0.46331236897274636,0.010482180293501049
12,0.00013527449173995453,1.5435627290715015e-05,0.002729714730477408,0.8752219762496365,0.5094339622641509,0.46750524109014674,0.023060796645702306
13,-9.715904887432536e-05,4.21940561785273e-05,0.27078459110018693,5.120897747561152,0.49478079331941544,0.48643006263048016,0.018789144050104383
14,9.126591628623812e-05,4.836189937876926e-05,-0.48678231483980305,1.4451394085375746,0.516597510373444,0.47717842323651455,0.006224066390041493
15,-0.0001780333508936979,4.114831442164872e-05,-0.4699288795746197,2.5926550057201565,0.5186721991701245,0.47925311203319504,0.002074688796680498
16,-8.365363097888628e-05,2.5117707481319985e-05,-0.2991991100288557,0.7238485078300867,0.5145228215767634,0.48132780082987553,0.004149377593360996
17,-0.0004109084146257135,2.2850910195917957e-05,-0.5591571879837152,4.156500171636783,0.46458333333333335,0.525,0.010416666666666666
18,4.5163965774851016e-05,2.0046027246550852e-05,-0.5360772255391885,4.0700865516714755,0.5157232704402516,0.46540880503144655,0.018867924528301886
19,0.000117331140195835,8.175804421403983e-06,-0.5481580747360881,1.9617567334909118,0.5421166306695464,0.4470842332613391,0.01079913606911447
20,0.00014955699854688135,1.0700378665795464e-05,4.012123677570277,86.37400238862725,0.5208791208791209,0.44175824175824174,0.03736263736263736
21,0.00026506854510261466,3.370929574902423e-06,1.0290087275938968,6.777970289283257,0.525,0.40625,0.06875
22,-0.00040866788035189987,2.9427387144882397e-05,-1.9964546947626867,43.076245306043,0.43389830508474575,0.5288135593220339,0.03728813559322034
23,-3.188496560843395e-05,4.2357300489421765e-06,3.383995373853821,29.38499285163641,0.45253863134657835,0.49448123620309054,0.052980132450331126
